iter	Passed	Remaining
434	1362	1769
435	1366	1767
436	1368	1762
437	1369	1757
438	1370	1751
439	1371	1745
440	1372	1739
441	1373	1733
442	1374	1727
443	1374	1721
444	1375	1716
445	1377	1711
446	1383	1711
447	1384	1706
448	1385	1700
449	1387	1695
450	1388	1689
451	1388	1683
452	1389	1678
453	1390	1672
454	1392	1667
455	1397	1667
456	1399	1662
457	1400	1657
458	1402	1652
459	1403	1647
460	1404	1642
461	1407	1638
462	1408	1633
463	1411	1630
464	1412	1625
465	1414	1620
466	1414	1614
467	1415	1609
468	1416	1604
469	1418	1599
470	1418	1593
471	1422	1591
472	1424	1586
473	1426	1582
474	1427	1577
475	1428	1572
476	1429	1566
477	1430	1561
478	1431	1556
479	1432	1551
480	1433	1546
481	1434	1541
482	1438	1540
483	1440	1535
484	1441	1530
485	1442	1525
486	1443	1520
487	1444	1515
488	1445	1510
489	1446	1505
490	1447	1500
491	1448	1495
492	1453	1495
493	1456	1491
494	1457	1487
495	1458	1482
496	1460	1477
497	1461	1472
498	1462	1468
499	1463	1463
500	1464	1458
501	1468	1456
502	1470	1452
503	1471	1448
504	1474	1445
505	1476	1441
506	1478	1437
507	1484	1437
508	1489	1436
509	1493	1435
510	1502	1437
511	1504	1433
512	1505	1429
513	1507	1424
514	1508	1420
515	1509	1415
516	1515	1415
517	1516	1411
518	1518	1406
519	1519	1402
520	1520	1398
521	1521	1393
522	1523	1389
523	1524	1384
524	1525	1380
525	1530	1379
526	1532	1375
527	1533	1370
528	1535	1366
529	1536	1362
530	1537	1358
531	1538	1353
532	1540	1349
533	1544	1348
534	1546	1344
535	1548	1340
536	1549	1335
537	1550	1331
538	1551	1327
539	1552	1322
540	1554	1318
541	1555	1314
542	1558	1311
543	1560	1308
544	1561	1303
545	1563	1299
546	1564	1295
547	1565	1291
548	1566	1287
549	1568	1282
550	1569	1278
551	1570	1274
552	1576	1273
553	1578	1270
554	1579	1266
555	1581	1262
556	1582	1258
557	1583	1254
558	1588	1253
559	1590	1249
560	1591	1245
561	1592	1241
562	1594	1237
563	1595	1233
564	1597	1229
565	1598	1225
566	1599	1221
567	1601	1217
568	1606	1216
569	1608	1213
570	1609	1209
571	1610	1205
572	1612	1201
573	1613	1197
574	1614	1193
575	1616	1189
576	1620	1187
577	1621	1184
578	1623	1180
579	1624	1176
580	1625	1172
581	1627	1168
582	1629	1165
583	1634	1164
584	1636	1161
585	1638	1157
586	1639	1153
587	1641	1150
588	1642	1146
589	1643	1142
590	1645	1138
591	1646	1134
592	1648	1131
593	1649	1127
594	1650	1123
595	1652	1119
596	1654	1116
597	1655	1112
598	1656	1109
599	1657	1105
600	1659	1101
601	1665	1100
602	1666	1097
603	1667	1093
604	1669	1089
605	1670	1085
606	1671	1082
607	1672	1078
608	1673	1074
609	1676	1071
610	1677	1068
611	1679	1064
612	1681	1061
613	1683	1058
614	1685	1055
615	1686	1051
616	1687	1047
617	1689	1044
618	1694	1043
619	1696	1039
620	1697	1036
621	1699	1032
622	1700	1028
623	1701	1025
624	1702	1021
625	1707	1020
626	1710	1017
627	1712	1014
628	1713	1010
629	1714	1006
630	1715	1003
631	1717	999
632	1718	996
633	1721	994
634	1723	990
635	1725	987
636	1726	983
637	1727	980
638	1728	976
639	1730	973
640	1731	969
641	1732	966
642	1733	962
643	1738	960
644	1739	957
645	1741	954
646	1742	950
647	1744	947
648	1745	943
649	1746	940
650	1747	937
651	1749	933
652	1752	931
653	1753	927
654	1755	924
655	1756	920
656	1757	917
657	1758	914
658	1759	910
659	1761	907
660	1764	904
661	1766	901
662	1767	898
663	1768	895
664	1770	891
665	1772	888
666	1773	885
667	1774	882
668	1780	880
669	1782	877
670	1783	874
671	1785	871
672	1786	867
673	1787	864
674	1788	861
675	1789	857
676	1790	854
677	1794	852
678	1796	849
679	1797	846
680	1799	842
681	1800	839
682	1801	836
683	1803	833
684	1804	829
685	1809	828
686	1812	825
687	1813	822
688	1815	819
689	1816	816
690	1817	812
691	1818	809
692	1819	806
693	1823	804
694	1825	800
695	1826	797
696	1827	794
697	1828	791
698	1830	788
699	1831	784
700	1832	781
701	1834	778
702	1835	775
703	1840	773
704	1842	770
705	1843	767
706	1844	764
707	1846	761
708	1847	758
709	1848	755
710	1850	752
711	1855	750
712	1858	748
713	1860	745
714	1861	742
715	1863	739
716	1864	735
717	1865	732
718	1870	731
719	1873	728
720	1874	725
721	1875	722
722	1876	719
723	1877	715
724	1879	712
725	1880	709
726	1883	707
727	1885	704
728	1886	701
729	1887	698
730	1889	695
731	1890	692
732	1891	689
733	1893	686
734	1894	683
735	1896	680
736	1900	678
737	1902	675
738	1903	672
739	1905	669
740	1906	666
741	1907	663
742	1908	660
743	1909	657
744	1911	654
745	1913	651
746	1915	648
747	1916	645
748	1918	642
749	1919	639
750	1920	636
751	1922	633
752	1923	630
753	1929	629
754	1932	626
755	1933	624
756	1934	621
757	1936	618
758	1937	615
759	1938	612
760	1941	609
761	1943	606
762	1944	604
763	1946	601
764	1947	598
765	1948	595
766	1950	592
767	1951	589
768	1952	586
769	1954	583
770	1958	581
771	1960	578
772	1961	576
773	1963	573
774	1964	570
775	1966	567
776	1968	564
777	1969	562
778	1971	559
779	1973	556
780	1974	553
781	1976	550
782	1977	548
783	1978	545
784	1979	542
785	1981	539
786	1985	537
787	1987	534
788	1988	531
789	1990	528
790	1991	526
791	1992	523
792	1993	520
793	1994	517
794	1996	514
795	2000	512
796	2002	510
797	2004	507
798	2006	504
799	2007	501
800	2009	499
801	2010	496
802	2011	493
803	2016	491
804	2017	488
805	2018	485
806	2020	483
807	2021	480
808	2022	477
809	2023	474
810	2025	472
811	2026	469
812	2031	467
813	2033	464
814	2034	461
815	2036	459
816	2037	456
817	2038	453
818	2040	450
819	2041	448
820	2046	446
821	2048	443
822	2050	440
823	2051	438
824	2053	435
825	2054	432
826	2056	430
827	2061	428
828	2064	425
829	2065	423
830	2067	420
831	2068	417
832	2069	414
833	2071	412
834	2072	409
835	2077	407
836	2079	405
837	2081	402
838	2082	399
839	2083	396
840	2085	394
841	2086	391
842	2087	388
843	2090	386
844	2092	383
845	2093	381
846	2094	378
847	2096	375
848	2097	373
849	2098	370
850	2100	367
851	2101	365
852	2102	362
853	2104	359
854	2106	357
855	2107	354
856	2108	351
857	2109	349
858	2111	346
859	2112	343
860	2113	341
861	2118	339
862	2120	336
863	2121	333
864	2123	331
865	2124	328
866	2125	326
867	2126	323
868	2127	320
869	2131	318
870	2132	315
871	2134	313
872	2135	310
873	2136	308
874	2138	305
875	2140	303
876	2142	300
877	2143	297
878	2149	295
879	2151	293
880	2153	290
881	2154	288
882	2155	285
883	2157	283
884	2158	280
885	2162	278
886	2163	275
887	2164	273
888	2166	270
889	2167	267
890	2168	265
891	2169	262
892	2172	260
893	2174	257
894	2176	255
895	2178	252
896	2179	250
897	2180	247
898	2182	245
899	2183	242
900	2185	240
901	2186	237
902	2192	235
903	2194	233
904	2196	230
905	2200	228
906	2206	226
907	2209	223
908	2213	221
909	2215	219
910	2217	216
911	2222	214
912	2223	211
913	2224	209
914	2227	206
915	2228	204
916	2230	201
917	2231	199
918	2232	196
919	2238	194
920	2239	192
921	2241	189
922	2242	187
923	2244	184
924	2245	182
925	2247	179
926	2254	177
927	2257	175
928	2258	172
929	2259	170
930	2261	167
931	2262	165
932	2263	162
933	2268	160
934	2270	157
935	2271	155
936	2273	152
937	2274	150
938	2275	147
939	2276	145
940	2284	143
941	2286	140
942	2287	138
943	2288	135
944	2289	133
945	2291	130
946	2292	128
947	2293	125
948	2297	123
949	2299	121
950	2300	118
951	2301	116
952	2302	113
953	2303	111
954	2304	108
955	2310	106
956	2312	103
957	2313	101
958	2314	98
959	2315	96
960	2316	94
961	2317	91
962	2318	89
963	2319	86
964	2326	84
965	2327	81
966	2329	79
967	2331	77
968	2333	74
969	2334	72
970	2341	69
971	2342	67
972	2344	65
973	2345	62
974	2346	60
975	2347	57
976	2348	55
977	2349	52
978	2354	50
979	2356	48
980	2358	45
981	2360	43
982	2362	40
983	2365	38
984	2371	36
985	2372	33
986	2374	31
987	2375	28
988	2376	26
989	2377	24
990	2378	21
991	2379	19
992	2381	16
993	2385	14
994	2386	11
995	2388	9
996	2389	7
997	2390	4
998	2391	2
999	2393	0
